PM 2.5,Dew Point (Celcius Degree),Humidity,Pressure,Temperature,Cumulated wind speed,Precipitation
129,-17,41,1020,-5,0.89,0
148,-16,38,1020,-4,1.79,0
159,-15,42,1020,-4,2.68,0
181,-11,63.5,1021,-5,3.57,0
138,-7,85,1022,-5,5.36,0
109,-7,85,1022,-5,6.25,0
105,-7,92,1022,-6,7.14,0
124,-7,92,1023,-6,8.93,0
120,-7,85,1024,-5,10.72,0
132,-8,85,1024,-6,12.51,0
140,-7,85,1025,-5,14.3,0
152,-7,85,1026,-5,17.43,0
148,-8,79,1026,-5,20.56,0
164,-8,79,1026,-5,23.69,0
158,-8,79,1025,-5,27.71,0
154,-9,73,1025,-5,31.73,0
159,-9,73,1025,-5,35.75,0
164,-9,73,1026,-5,37.54,0
170,-8,79,1027,-5,39.33,0
149,-8,79,1027,-5,42.46,0
154,-8,79,1028,-5,44.25,0
164,-7,85,1028,-5,46.04,0
156,-7,85,1027,-5,49.17,0
126,-8,85,1028,-6,52.3,0
90,-8,85,1027,-6,55.43,0
63,-7,92,1027,-6,58.56,0.4
65,-8,85,1026,-6,61.69,0.5
55,-8,92,1026,-7,65.71,0.5
65,-8,92,1025,-7,68.84,0.7
83,-8,92,1024,-7,72.86,1.2
91,-9,92,1024,-8,76.88,0.7
86,-10,85,1024,-8,80.9,1
82,-10,92,1024,-9,84.92,0.7
86,-10,92,1024,-9,89.84,0.5
78,-11,85,1023,-9,93.86,0.7
98,-11,85,1023,-9,97.88,0.4
107,-11,85,1022,-9,102.8,0.5
90,-11,85,1021,-9,105.93,1.1
96,-11,85,1020,-9,111.74,0.5
95,-11,85,1020,-9,116.66,0.3
86,-11,85,1020,-9,121.58,0.5
70,-11,85,1020,-9,124.71,0.2
61,-11,85,1020,-9,127.84,0.1
53,-11,85,1021,-9,0.89,0.4
71,-11,85,1022,-9,1.78,0.3
72,-10,92,1022,-9,4.02,0
76,-11,92,1023,-10,7.15,0
73,-11,85,1023,-9,11.17,0
79,-12,92,1023,-11,14.3,0
58,-14,85,1023,-12,16.09,0
25,-16,56,1023,-9,21.9,0
26,-17,56,1024,-10,29.95,0
28,-18,56,1024,-11,39.78,0
26,-19,51,1025,-11,48.72,0
20,-20,51,1026,-12,55.87,0
29,-21,47,1027,-12,64.81,0
26,-21,51,1027,-13,73.75,0
27,-22,46,1028,-13,80.9,0
27,-22,46,1029,-13,90.73,0
25,-22,43,1030,-12,100.56,0
29,-23,39,1031,-12,108.61,0
32,-21,43,1030,-11,117.55,0
28,-20,43,1030,-10,127.38,0
29,-21,40,1030,-10,136.32,0
30,-21,37,1030,-9,145.26,0
30,-21,37,1031,-9,152.41,0
28,-20,47,1032,-11,159.56,0
26,-23,36,1032,-11,165.37,0
31,-21,47,1033,-12,171.18,0
33,-24,36,1034,-12,180.12,0
29,-24,39,1034,-13,187.27,0
31,-24,39,1035,-13,195.32,0
30,-26,38,1035,-15,198.45,0
34,-26,45,1035,-17,201.58,0
27,-26,49,1035,-18,205.6,0
25,-26,53,1035,-19,208.73,0
28,-27,45,1035,-18,213.65,0
28,-27,49,1035,-19,218.57,0
27,-27,38,1034,-16,4.92,0
27,-26,41,1035,-16,8.05,0
27,-27,38,1034,-16,13.86,0
29,-26,41,1035,-16,18.78,0
36,-26,38,1035,-15,24.59,0
30,-25,38,1035,-14,29.51,0
27,-25,35,1035,-13,34.43,0
39,-25,33,1034,-12,39.35,0
41,-24,33,1032,-11,41.14,0
33,-22,39,1032,-11,0.89,0
50,-23,36,1031,-11,1.79,0
56,-24,33,1031,-11,3.58,0
59,-23,36,1031,-11,5.37,0
60,-23,36,1032,-11,7.16,0
84,-22,46,1033,-13,10.29,0
106,-22,43,1033,-12,13.42,0
66,-24,59,1033,-18,16.55,0
50,-22,46,1034,-13,20.57,0
56,-22,59,1033,-16,23.7,0
77,-25,49,1033,-17,26.83,0
50,-25,38,1033,-14,4.02,0
44,-26,35,1034,-14,8.04,0
27,-26,35,1033,-14,13.85,0
28,-26,35,1033,-14,17.87,0
21,-26,35,1033,-14,23.68,0
25,-26,35,1033,-14,28.6,0
20,-26,38,1034,-15,33.52,0
29,-26,35,1034,-14,39.33,0
34,-25,35,1035,-13,44.25,0
42,-25,33,1035,-12,50.06,0
28,-24,33,1035,-11,54.98,0
36,-24,30,1034,-10,59,0
48,-22,36,1033,-10,4.02,0
49,-22,34,1033,-9,5.81,0
52,-22,31,1033,-8,0.89,0
56,-22,31,1033,-8,1.79,0
96,-21,37,1033,-9,3.58,0
75,-22,34,1033,-9,5.37,0
105,-22,50,1034,-14,0.89,0
132,-22,43,1035,-12,1.79,0
93,-21,55,1034,-14,3.58,0
131,-22,59,1035,-16,5.37,0
127,-21,65,1035,-16,7.16,0
130,-21,65,1035,-16,8.95,0
43,-21,65,1035,-16,0.45,0
37,-22,70,1036,-18,1.34,0
30,-23,50,1036,-15,4.02,0
28,-24,50,1035,-16,7.15,0
24,-25,42,1035,-15,10.28,0
23,-24,46,1035,-15,14.3,0
24,-25,35,1036,-13,4.92,0
27,-24,42,1036,-14,4.02,0
40,-23,39,1036,-12,8.94,0
42,-22,39,1036,-11,12.96,0
42,-20,43,1036,-10,16.09,0
55,-21,37,1035,-9,19.22,0
52,-21,34,1034,-8,21.01,0
51,-20,34,1033,-7,22.8,0
57,-20,34,1032,-7,24.59,0
50,-18,44,1032,-8,26.38,0
54,-19,44,1032,-9,28.17,0
67,-19,51,1032,-11,0.89,0
106,-18,56,1033,-11,1.79,0
159,-19,71,1032,-15,1.79,0
198,-19,65,1032,-14,0.45,0
190,-21,55,1032,-14,1.34,0
210,-21,65,1032,-16,2.23,0
195,-21,71,1031,-17,1.79,0
275,-19,77,1031,-16,3.58,0
164,-20,71,1031,-16,0.89,0
110,-19,71,1030,-15,0.89,0
100,-18,77,1030,-15,0.45,0
81,-18,77,1029,-15,1.34,0
71,-18,77,1029,-15,1.79,0
66,-16,78,1029,-13,0.89,0
92,-16,72,1029,-12,0.89,0
135,-16,72,1030,-12,1.78,0
155,-17,56,1030,-10,0.89,0
198,-16,61,1029,-10,0.89,0
250,-16,56,1028,-9,3.13,0
200,-15,57,1026,-8,4.92,0
231,-16,52,1026,-8,0.89,0
250,-16,52,1025,-8,1.78,0
212,-16,52,1025,-8,2.67,0
219,-17,48,1025,-8,0.89,0
227,-17,52,1026,-9,0.45,0
226,-17,61,1026,-11,1.34,0
225,-17,66,1026,-12,1.79,0
168,-18,71,1027,-14,1.79,0
169,-16,56,1027,-9,4.92,0
165,-16,66,1027,-11,6.71,0
159,-17,71,1027,-13,0.89,0
167,-17,71,1027,-13,3.13,0
196,-17,77,1027,-14,4.92,0
169,-17,84,1027,-15,8.05,0
155,-17,71,1027,-13,9.84,0
119,-19,77,1027,-16,13.86,0
106,-18,77,1027,-15,17.88,0
93,-19,71,1027,-15,21.9,0
84,-18,71,1028,-14,25.92,0
73,-18,48,1029,-9,5.81,0
66,-17,44,1029,-7,11.62,0
40,-17,41,1030,-6,17.43,0
49,-16,45,1029,-6,23.24,0
50,-16,41,1029,-5,28.16,0
49,-15,42,1029,-4,33.08,0
41,-14,45,1028,-4,37.1,0
37,-15,42,1029,-4,38.89,0
45,-15,42,1030,-4,1.79,0
44,-15,52,1030,-7,3.13,0
54,-15,48,1031,-6,3.13,0
50,-15,52,1032,-7,4.92,0
47,-15,48,1032,-6,3.13,0
66,-15,57,1033,-8,0.45,0
75,-15,57,1033,-8,0.9,0
82,-15,72,1033,-11,0.89,0
66,-17,71,1033,-13,1.78,0
83,-17,66,1033,-12,4.91,0
62,-17,71,1033,-13,8.04,0
40,-19,65,1032,-14,9.83,0
23,-18,66,1032,-13,12.96,0
25,-19,60,1032,-13,16.09,0
27,-19,65,1033,-14,19.22,0
35,-19,65,1034,-14,22.35,0
50,-17,66,1033,-12,24.14,0
70,-16,48,1033,-7,4.02,0
75,-15,52,1033,-7,3.13,0
58,-15,52,1032,-7,6.26,0
70,-14,53,1031,-6,9.39,0
68,-14,53,1031,-6,12.52,0
71,-13,53,1030,-5,14.31,0
88,-14,49,1031,-5,16.1,0
84,-14,53,1031,-6,19.23,0
83,-13,62,1032,-7,23.25,0
66,-15,48,1032,-6,27.27,0
27,-15,48,1033,-6,30.4,0
24,-15,42,1034,-4,35.32,0
22,-16,38,1034,-4,44.26,0
